DATE_DEBUT;DATE_FIN;INTITULE_MANIFESTATION;ORGANISATEUR;DISCIPLINE;VILLE_DE_LA_MANIFESTATION;OBJET_DEMANDE;SUBVENTION
22/07/2012;;Course cycliste juniors et seniors;Union Sportive de Saint Herblain;Cyclisme;La Chapelle sur Erdre;Promotion ;
14/04/2012;;Tournoi de basket La Chevrolière;Herbilla Basket La Chevrolière;Basket-Ball;La Chevrolière;Promotion ;
03/06/2012;;Course de BMX;Club BMX La Chevrolière;cyclisme;La Chevrolière;Promotion ;
24/03/2012;25/03/2012;Tournoi de judo;Club de judo de la Meilleraye de Bretagne;Judo;La Meilleraye de Bretagne;Promotion ;
12/05/2012;;5ème triathlon des sapeurs pompiers;CDIS La Planche;Multisports;La Planche;Promotion ;
09/07/2012;12/07/2012;Toutes Voiles dehors;ADAPEI  IME des Sorinières;Handisport;La Rochelle;Subvention ;1 000 €
20/05/2012;;Rallye familial en vélo;Amicale Laïque du Bignon;Cyclisme;Le Bignon;Promotion ;
07/01/2012;08/01/2012;Tournoi badminton;ASBC;Badminton;Le Cellier;Promotion ;
07/04/2012;08/04/2012;Tournoi International de Football;Association Sportive du Cellier;Football;Le Cellier;Subvention ;1 300 €
28/05/2012;;Tournoi de foot;;Football;Le Coudray;Promotion ;
25/02/2012;26/02/2012;Le Trail du Vignoble Nantais;Association des Fondus du Vignoble Nantais (AFVN);Athlétisme;Le Landreau;Subvention ;3 000 €
08/09/2012;;Circuit Nantes Atlantique;Union Cycliste Nantes Atlantique;Cyclisme;Le Landreau;Subvention ;5 000 €
08/09/2012;;Course cycliste départementale ;Union Cycliste Nantes Atlantique;Cyclisme;Le Landreau;Promotion ;
01/07/2012;;Les Foulées d'Abélard;Le Pallet Tourisme Loisirs;athlétisme;Le Pallet;Promotion ;
02/06/2012;03/06/2012;24h de tennis de table;Tennis de Table Palletais;Tennis de Table;Le Pallet;Subvention ;500 €
21/04/2012;;Trophée du Conseil Général;Comité départemental 44 Pêche;Pêche;Le Pellerin;Subvention ;800 €
01/05/2012;;Course aviron ;XV rameurs;Aviron;Le Pellerin;Promotion ;
16/09/2012;;Trophée du canal de la Martinière;mairie du Pellerin;multisports;Le Pellerin;Promotion ;
12/05/2012;;Mini mouette master ;Club de volley Le Pouliguen;Beach volley;Le Pouliguen;Promotion ;
